text,label
关于外国语学院的最新通知,1
查找关于格物楼的资料,1
的张学杰的教师有哪些？,1
高等数学属于哪个学院？,1
怎么操作学生毕业审核申请学分认定办理？,0
怎样申请调停课申请？,0
学生申请课程缓考办理应该怎么办理？,0
学生申请课程缓考办理的流程是什么？,0
如何办理毕业证、学位证遗失补办证明书？的,0
我需要了解申请学历或学位证明材料办理的流程,0
学生申请课程缓考办理应该怎么办理？,0
办理学生毕业审核申请学分认定办理的具体步骤有哪些？,0
查询信息学院的详细信息,1
求毕业证、学位证补换发的完整流程说明,0
查找关于王津的资料的,1
申请申请学历或学位证明材料办理的步骤是怎样的？,0
请问本科学生放弃辅修或辅修类型变更办理需要什么步骤？,0
关于调停课申请的详细流程,0
申请本科学生放弃辅修或辅修类型变更办理的步骤是怎样的？,0
格物楼1栋1103的相关信息,1
怎样申请本科学生毕业论文（设计）工作？,0
云南大学的开放时间是？,1
高等数学的开放时间是？,1
有没有毕业证、学位证遗失补办证明书的操作指南？,0
法学院的具体位置在哪里？,1
软件学院的相关信息,1
我需要了解临时使用教室申请的流程,0
有没有本科学生毕业论文（设计）工作的操作指南？,0
怎样申请申请学历或学位证明材料办理？,0
文渊楼211的相关信息,1
关于调停课申请的详细流程,0
如何联系高等数学？,1
查找关于软件学院的资料,1
云南大学的教师有哪些？,1
法学院的开放时间是？,1
高等数学的负责部门是哪个？,1
文学院历史与档案学院的负责部门是哪个？,1
文学院历史与档案学院的负责部门是哪个？,1
查找关于文渊楼211的资料,1
的我需要了解申请学历或学位证明材料办理的流程,0
格物楼的联系方式是什么？,1
请问本科学生毕业论文（设计）工作需要什么步骤？,0
格物楼1栋1103的相关信息,1
的如何办理本科学生放弃辅修或辅修类型变更办理？,0
我需要了解临时使用教室申请的流程,0
如何联系外国语学院？,1
求本科学生放弃辅修或辅修类型变更办理的完整流程说明,0
有没有成绩单、学籍证明打印办理的操作指南？,0
申请调停课申请的步骤是怎样的？的,0
关于格物楼1栋1103的最新通知,1
怎么操作实践教学科项目经费报销？,0
高等数学的相关信息,1
法学院的具体位置在哪里？,1
王津的信息是什么？,1
我需要了解成绩单、学籍证明打印办理的流程的,0
的怎么操作学生申请课程缓考办理？,0
怎样申请学生申请课程免修办理？,0
文渊楼211的具体位置在哪里？,1
申请本科学生毕业论文（设计）工作的步骤是怎样的？,0
如何办理申请学历或学位证明材料办理？,0
信息学院的具体位置在哪里？,1
云南大学的相关信息,1
临时使用教室申请的流程是什么？,0
如何联系王津？,1
关于本科学生放弃辅修或辅修类型变更办理的详细流程,0
的办理学生申请课程免听办理的具体步骤有哪些？,0
求调停课申请的完整流程说明,0
如何办理教师办理成绩录入延期、成绩录入系数更改？,0
我需要了解调停课申请的流程,0
办理教师办理成绩录入延期、成绩录入系数更改的具体步骤有哪些？,0
的云南大学领取本科学历学位证书的办理流程是怎样的？,0
求学生申请课程缓考办理的完整流程说明,0
云南大学的具体位置在哪里？,1
申请学生申请课程免修办理的步骤是怎样的？,0
有没有毕业证、学位证补换发的操作指南？,0
文渊楼211的教师有哪些？,1
的如何办理补办学生证？,0
文渊楼211的教师有哪些？,1
高等数学的课程安排是怎样的？,1
王津的开放时间是？,1
云南大学的开放时间是？,1
查找关于云南大学呈贡校区图书馆的资料,1
求申请学历或学位证明材料办理的完整流程说明,0
的学生申请课程免修办理的办理流程是怎样的？,0
关于毕业证、学位证补换发的详细流程,0
外国语学院的课程安排是怎样的？,1
关于高等数学的最新通知,1
如何办理本科学生毕业论文（设计）工作？,0
申请修改学信网信息办理的办理流程是怎样的？,0
的关于学生申请课程免修办理的详细流程,0
的有没有补办学生证的操作指南？,0
关于C语言程序设计的最新通知,1
申请学生毕业审核申请学分认定办理的步骤是怎样的？,0
外国语学院的课程安排是怎样的？,1
关于临时使用教室申请的详细流程的,0
信息学院的相关信息,1
有没有学生申请课程免修办理的操作指南？,0
请问云南大学领取本科学历学位证书需要什么步骤？,0
查询格物楼的详细信息,1
申请云南大学领取本科学历学位证书的步骤是怎样的？,0
有没有补办学生证的操作指南？,0
C语言程序设计的联系方式是什么？,1
查询文学院历史与档案学院的详细信息的,1
怎么操作学生申请课程免听办理？,0
关于教师办理成绩录入延期、成绩录入系数更改的详细流程的,0
格物楼的信息是什么？,1
法学院的负责部门是哪个？,1
学生申请课程缓考办理的流程是什么？,0
申请学生申请课程免听办理的步骤是怎样的？,0
如何联系云南大学？,1
毕业证、学位证补换发的流程是什么？,0
求学生申请课程免修办理的完整流程说明,0
关于高等数学的最新通知,1
法学院的相关信息,1
的如何联系云南大学呈贡校区图书馆？,1
我需要了解学生毕业审核申请学分认定办理的流程,0
申请临时使用教室申请的步骤是怎样的？,0
怎样申请成绩单、学籍证明打印办理？,0
申请学历或学位证明材料办理的办理流程是怎样的？,0
如何办理补办学生证？,0
关于文渊楼211的最新通知,1
求本科学生放弃辅修或辅修类型变更办理的完整流程说明,0
格物楼的相关信息,1
的云南大学呈贡校区图书馆属于哪个学院？,1
怎样申请学生申请课程缓考办理？,0
学生申请课程免听办理应该怎么办理？,0
怎样申请申请修改学信网信息办理？,0
请问成绩单、学籍证明打印办理需要什么步骤？,0
查询格物楼1栋1103的详细信息,1
信息学院的开放时间是？,1
我需要了解大学生创新创业训练项目工作的流程,0
信息学院的负责部门是哪个？,1
文学院历史与档案学院的课程安排是怎样的？,1
查找关于张学杰的资料,1
有没有学生申请课程免听办理的操作指南？,0
求学生申请课程缓考办理的完整流程说明,0
我需要了解本科学生毕业论文（设计）工作的流程,0
法学院的联系方式是什么？,1
的文渊楼211的课程安排是怎样的？,1
调停课申请的办理流程是怎样的？,0
我需要了解教师办理成绩录入延期、成绩录入系数更改的流程,0
办理学生申请课程缓考办理的具体步骤有哪些？,0
临时使用教室申请的办理流程是怎样的？,0
怎么操作学生申请课程缓考办理？,0
