text,label
How do I apply for the process of obtaining a bachelor's degree certificate from Yunnan University? What materials are required?,0
Could you please tell me the process for obtaining the undergraduate degree certificate from Yunnan University? What documents are required?,0
Do classmates know how to apply for the college student innovation and entrepreneurship training project work process?,0
Please tell me what to do if the undergraduate student's graduation thesis (design) workflow is rejected?,0
Do you know how to apply for the undergraduate student graduation thesis (design) workflow?,0
Could you please tell me which office to go to for the process of filing a project expense reimbursement for the practical teaching department?,0
Do classmates know? Please inform me if they do. Where should I go to the office to handle the procedure for a bachelor student to give up a minor or change the type of minor?,0
Do you know which office to go to for the application process of undergraduate students giving up a minor or changing the type of minor?,0
Could you please tell me the deadline for the application procedure to withdraw from a minor or change the type of minor for undergraduate students?,0
Do classmates know how to handle the process of applying for course exemption for students? What materials are needed? Thank you!,0
How do I apply for the exemption process for course exemption for students? What materials are required? Thank you!,0
Could you please tell me how to apply for the exemption process for course credit for students?,0
What is the deadline for the application process to request exemption from attending a course for student applicants?,0
Could you please tell me the process for applying for a deferred exam for a course?,0
Please inform me what to do if the credit recognition application process for student graduation review is rejected?,0
Could you please tell me the procedure for handling the application for credit recognition and graduation review process online?,0
Does anyone know if the online process for handling student graduation review application and credit recognition procedures is available? Thank you!,0
Could you please inform me about the process for applying for academic or degree certificate materials? What documents are required?,0
"How to apply for the process of handling academic or degree certificate materials, thank you!",0
Does anyone know which office to go to for the procedure of applying to modify the information on the XueXin website? Thank you!?,0
Could you please tell me what to do if my application to modify the information on the China Academic Degrees and Education Information Database is rejected?,0
Do you know how to apply for the process of modifying the information on the XueXin website?,0
How do I apply for the modification of the information on the XueXin website and the process of handling it?,0
Do classmates know which office to go to for the process of extending the deadline for teacher grade entry and changing the coefficient of grade entry? Thank you!,0
Do classmates know how many days it takes to approve the process of extending the deadline for teachers to enter grades and changing the grade entry coefficient? Do you know?,0
Do classmates know how to apply for the printing process of academic transcripts and student records?,0
"Do classmates know if the application for a replacement certificate for lost graduation and degree certificates is rejected, what should be done?",0
"Where should I go to apply for a course adjustment, thank you!",0
How to apply for temporary use of the classroom? What materials are required? Thank you! Thank you!,0
What is the deadline for the application process to temporarily use the classroom?,0
What is the deadline for the application process to temporarily use the classroom?,0
Can classmates tell me how to apply for temporary use of the classroom and what is the application process?,0
How do I go about the process of applying for a replacement student ID card? What documents are required?,0
Do classmates know how long the deadline is for the application process to replace a student ID?,0
"Could you please tell me the process for applying for a replacement student ID card?, Thank you!",0
Could you please tell me which papers Professor Lin Ling has recently published?,1
Do you know in which campus Lin Ling's office is located?,1
"What are the works of Lin Ling?, Thank you!",1
Could you please tell me which campus the office of Chi Zonglin is located in? Thank you!,1
Could you麻烦 tell me if my classmates know what course Zhang Xuejie is teaching this semester?,1
Could you please tell me if my classmates know about the works of Yue Kun?,1
Please tell me what works does Liang Jie have?,1
Could you please tell me what works does Zhang Yufeng have? Thank you!,1
Could you please tell me what the research direction of Zhang Renyuan is? Thank you!,1
Could you please tell me what works Wang Jin has?,1
Could you please tell me what courses Zhang Junhua is teaching this semester?,1
Could you please tell me introduce Nie Rencan?,1
